"Категорія","Підкатегорія","Модель","Ціна"
"Більярдні столи","Піраміда","Галант","20130"
"Більярдні столи","Піраміда","Галант","20260"
"Більярдні столи","Піраміда","Галант","20980"
"Більярдні столи","Піраміда","Галант","23660"
"Більярдні столи","Піраміда","Галант","25490"
"Більярдні столи","Піраміда","Галант","31630"
"Більярдні столи","Піраміда","Галант","34640"
"Більярдні столи","Піраміда","Галант Люкс","46300"
"Більярдні столи","Піраміда","Галант Люкс","49700"
"Більярдні столи","Піраміда","Галант Люкс","61800"
"Більярдні столи","Піраміда","Галант Люкс","66400"
"Більярдні столи","Піраміда","Галант Люкс","80500"
"Більярдні столи","Піраміда","Галант Люкс","93400"
"Більярдні столи","Піраміда","Мрія Нова","24300"
"Більярдні столи","Піраміда","Мрія Нова","24400"
"Більярдні столи","Піраміда","Мрія Нова","25100"
"Більярдні столи","Піраміда","Мрія Нова","28500"
"Більярдні столи","Піраміда","Мрія Нова","30500"
"Більярдні столи","Піраміда","Мрія Нова","37500"
"Більярдні столи","Піраміда","Мрія Нова","41500"
"Більярдні столи","Піраміда","Мрія Нова Люкс","59500"
"Більярдні столи","Піраміда","Мрія Нова Люкс","60300"
"Більярдні столи","Піраміда","Мрія Нова Люкс","74900"
"Більярдні столи","Піраміда","Мрія Нова Люкс","80400"
"Більярдні столи","Піраміда","Мрія Нова Люкс","97300"
"Більярдні столи","Піраміда","Мрія Нова Люкс","112800"
"Більярдні столи","Піраміда","Магнат","22900"
"Більярдні столи","Піраміда","Магнат","23100"
"Більярдні столи","Піраміда","Магнат","23900"
"Більярдні столи","Піраміда","Магнат","27200"
"Більярдні столи","Піраміда","Магнат","29300"
"Більярдні столи","Піраміда","Магнат","36700"
"Більярдні столи","Піраміда","Магнат","40300"
"Більярдні столи","Піраміда","Магнат Люкс","60500"
"Більярдні столи","Піраміда","Магнат Люкс","61300"
"Більярдні столи","Піраміда","Магнат Люкс","75900"
"Більярдні столи","Піраміда","Магнат Люкс","81400"
"Більярдні столи","Піраміда","Магнат Люкс","98300"
"Більярдні столи","Піраміда","Магнат Люкс","113800"
"Більярдні столи","Піраміда","Царський","82800"
"Більярдні столи","Піраміда","Царський","83600"
"Більярдні столи","Піраміда","Царський","88000"
"Більярдні столи","Піраміда","Царський","106000"
"Більярдні столи","Піраміда","Царський","133000"
"Більярдні столи","Піраміда","Царський","133000"
"Більярдні столи","Піраміда","Классік","100000"
"Більярдні столи","Піраміда","Классік","104000"
"Більярдні столи","Піраміда","Классік","115000"
"Більярдні столи","Піраміда","Классік","121000"
"Більярдні столи","Піраміда","Классік","144000"
"Більярдні столи","Піраміда","Классік","171000"
"Більярдні столи","Піраміда","Клубний","104000"
"Більярдні столи","Піраміда","Клубний","108000"
"Більярдні столи","Піраміда","Клубний","121000"
"Більярдні столи","Піраміда","Клубний","128000"
"Більярдні столи","Піраміда","Клубний","155000"
"Більярдні столи","Піраміда","Клубний","182000"